,pageTitle,sectionTitles,imageURL,question1,answer1,distractors1,question2,answer2,distractors2,question3,answer3,distractors3,question4,answer4,distractors4,imageQuestion,imageAnswerURL,imageDistractor1,imageDistractor2,imageDistractor3
43,Piazza Navona,"Main, History",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/View_of_the_Piazza_Navona%2C_Rome_LACMA_49.17.3.jpg/320px-View_of_the_Piazza_Navona%2C_Rome_LACMA_49.17.3.jpg,Who sculplted Fountain of the Four Rivers that can be seen on Piazza Navona?,Gian Lorenzo Bernini,"Giacomo della Porta, Michelangelo, Antonio Della Bitta",During what two days of the week was Piazza Navona flooded during August from 1652 until 1866?,Saturday and Sunday,"Tuesday and Wednesday, Thursday and Friday, Friday and Saturday",How many fountains are on the Piazza Navona?,3,"2, 5, 6",What is on top of Piazza Navona's Fountain of the Four Rivers?,Obelisk,"Sphere, Column, Cross",Which is Piazza Navona?,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Antonio_Joli.jpg/320px-Antonio_Joli.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Piranesi-16026.jpg/320px-Piranesi-16026.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/CampidoglioEng.jpg/320px-CampidoglioEng.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Fran%C3%A7ois_Marius_Granet_-_La_Trinit%C3%A9-des-Monts_et_la_Villa_M%C3%A9dicis%2C_%C3%A0_Rome.jpg/320px-Fran%C3%A7ois_Marius_Granet_-_La_Trinit%C3%A9-des-Monts_et_la_Villa_M%C3%A9dicis%2C_%C3%A0_Rome.jpg
44,Victoria Falls,"Main, Name Origins, Size",https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Cataratas_Victoria%2C_Zambia-Zimbabue%2C_2018-07-27%2C_DD_06.jpg/320px-Cataratas_Victoria%2C_Zambia-Zimbabue%2C_2018-07-27%2C_DD_06.jpg,What does 'Mosi-oa-Tunya' roughly translate to?,The Smoke that Thunders,"The Rushing Water, The Place of the Rainbow, Matetsi Falls",How high is Victoria Falls?,108 m,"324 m, 56 m, 231 m",What is the name of the main river that flows into Victoria Falls?,Zambezi River,"Kafue, Chobe River, Limpopo River",What is the bedrock of Victoria Falls made of?,Basalt,"Granite, Magnetite, Obisidian",Which is Victoria Falls?,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Cataratas_Victoria%2C_Zambia-Zimbabue%2C_2018-07-27%2C_DD_36-43_PAN.jpg/320px-Cataratas_Victoria%2C_Zambia-Zimbabue%2C_2018-07-27%2C_DD_36-43_PAN.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/3Falls_Niagara.jpg/320px-3Falls_Niagara.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/American_Falls_Niagara_Falls_USA_from_Skylon_Tower_on_2002-05-28.png/320px-American_Falls_Niagara_Falls_USA_from_Skylon_Tower_on_2002-05-28.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Salto_del_Angel-Canaima-Venezuela08.JPG/320px-Salto_del_Angel-Canaima-Venezuela08.JPG
45,Island fox,"Main, Description",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Urocyon_littoralis_%28Island_fox%29_FWS_001.jpg/320px-Urocyon_littoralis_%28Island_fox%29_FWS_001.jpg,How many subspecies of the island fox exist?,6,"2, 4, 8",Which of these is a use for the island fox?,Pest control,"Hunting, Herding, Protection","Compared to the grey fox, what size is the island fox?",Smaller,"Same size, Larger, Not comparable ",What color is the fur on the island fox's head?,Grey,"Tan, White, Red",Which of these is an island fox?,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Urocyon_littoralis_pair.jpg/320px-Urocyon_littoralis_pair.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/FalklandIslandFox2.jpg/320px-FalklandIslandFox2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Foxes_of_Island_Beach_State_Park_New_Jersey_%2816324545492%29.jpg/320px-Foxes_of_Island_Beach_State_Park_New_Jersey_%2816324545492%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Red_Fox_%28Vixen%29.jpg/320px-Red_Fox_%28Vixen%29.jpg
46,Hector's dolphin,"Main, Description",https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Hector%27s_Dolphins_at_Porpoise_Bay_1999_a_cropped.jpg/320px-Hector%27s_Dolphins_at_Porpoise_Bay_1999_a_cropped.jpg,Where are Hector's dolphins endemic to?,New Zealand,"Australia, Philippines, Vietnam",Which subspecies of Hector's dolphins is more numerous?,South Island,"Maui, North Island, Hectorious",What is the most distinctive feature of Hector's dolphins?,Dorsal fin,"Tail, Underbelly, Beak",How many white stripes are on the skin of newborn Hector's dolphins?,4-6,"1-3, 7-9, 10-12",Which of these is a Hector's dolphin?,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Hector%27s_dolphins.jpg/320px-Hector%27s_dolphins.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Girl_Petting_Secret_Garden_Dolphin.jpg/320px-Girl_Petting_Secret_Garden_Dolphin.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Secret_Garden_Dolphin_Playing_With_Ball.jpg/320px-Secret_Garden_Dolphin_Playing_With_Ball.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Amazon_river_dolphin_2.jpg/320px-Amazon_river_dolphin_2.jpg
47,Asarum,"Main, Description",https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Asarum_caudatum_1117.JPG/320px-Asarum_caudatum_1117.JPG,What is the common name of Asarum?,Wild ginger,"Wild garlic, Kidney plants, Altar leaves",What sort of soil does wild ginger favor?,Hummus-rich,"Clay, Sandy, Nitrogen-rich",What is the characteristic shape of Asarum leaves?,Kidney,"Sailboat, Star, Cloud",What color are the axillary flowers of Asarum plants?,Brown,"Black, Violet, White",Which of these is an Asarum plant?,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Asarum_canadense.jpg/320px-Asarum_canadense.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Kluse_-_Gynostemma_pentaphyllum_-_Jiaogulan_01_ies.jpg/320px-Kluse_-_Gynostemma_pentaphyllum_-_Jiaogulan_01_ies.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Astragalus_membranaceus.jpg/320px-Astragalus_membranaceus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Apiaceae_-_Myrrhis_odorata.JPG/320px-Apiaceae_-_Myrrhis_odorata.JPG
48,Aerodramus,"Main, Description",https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/CollocaliaUnicolor.svg/320px-CollocaliaUnicolor.svg.png,Which type of region are Aerodramus swiflets confined to?,Tropical,"Savanna, Continental, Polar",What distinguishes Aerodramus swiflets from other birds?,Ecolocation,"Diet, Habitat, Reproduction",Which aspect of Aerodramus swiflets allows them to have fast flight?,Narrow wings,"Small beak, Dull plumage, Short legs","What color are the ""armpits"" of Aerodramus swiflets?",Dark brown,"Light brown, Light grey, Reddish brown",Which of these is an Aerodramus swiflet?,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/AerodramusFuciphagus.LipKee_%28cropped%29.jpg/320px-AerodramusFuciphagus.LipKee_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Cave_Swallow_%2824145023757%29.jpg/320px-Cave_Swallow_%2824145023757%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Steatornis_caripensis_MHNT_ZON_STEA_1.jpg/320px-Steatornis_caripensis_MHNT_ZON_STEA_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Guirakuckuck_Guira_guira.JPG/320px-Guirakuckuck_Guira_guira.JPG
49,One Worldwide Plaza,"Main, Architecture and design",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Wwp50roof.JPG/320px-Wwp50roof.JPG,In which New York City neighborhood is One Worldwide Plaza located?,Hell's Kitchen,"Harlem, Lower Manhatten, Tribeca",When was the Worldwide Plaza complex completed?,1989,"1964, 1997, 2001",What is located at the top of One Worldwide Plaza?,Glass Pyramid,"Antenna, Copper crown, U.S Flag",What material makes up the tower facade?,Brick,"Granite, Concrete, Stone",Which of these is One Worldwide Plaza?,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Worldwide-plaza-facingeast-small.jpg/320px-Worldwide-plaza-facingeast-small.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/HartSenateOfficeBuilding.jpg/320px-HartSenateOfficeBuilding.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/388_Market_Street%2C_San_Francisco_2021.jpg/320px-388_Market_Street%2C_San_Francisco_2021.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Galtier_Plaza.jpg/320px-Galtier_Plaza.jpg
50,900 North Michigan,Main,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/2005-09-20_1080x1920_chicago_900_north_michigan.jpg/320px-2005-09-20_1080x1920_chicago_900_north_michigan.jpg,Which of these is a common nickname for 900 North Michigan?,Bloomingdale's Building,"Michigan Mall, Four Season's Building, Magnificant Plaza",900 North Michigan was initially built as an upscale sister to which building?,Water Tower Place,"311 South Wacker, Willis Tower, Chase Tower",Which part of the tower helps to reflect light?,Green glass,"Limestone base, Light fixures, Glass prism","How many lit ""lanterns"" sit atop 900 North Michigan?",4,"2, 6, 8",Which of these is 900 North Michigan?,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Chicago_900_North_Michigan_Avenue_%2827940356553%29.jpg/320px-Chicago_900_North_Michigan_Avenue_%2827940356553%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Skyscraper_in_Chicago_city.jpg/320px-Skyscraper_in_Chicago_city.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Mundelein_College_Skyscraper_Building_Front.JPG/320px-Mundelein_College_Skyscraper_Building_Front.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Chicago_Spire.png/320px-Chicago_Spire.png
51,Spectral bat,"Main, Description",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Spectral_bat_photo.jpg/320px-Spectral_bat_photo.jpg,What is the mating pattern for spectral bats?,Monogamy,"Polygyny, Polyandry, Promiscuity",Where do spectral bat colonies usually roost?,Tree hollows,"Caves, Burrows, Riverbeds",What color is the back fur of spectral bats?,Reddish-brown,"Pale, Black, White",What shape are the spectral bat's wingtips?,Rounded,"Triangular, Sharp, Claw-like",Which of these is a spectral bat?,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Vampyrum_spectrum_Mus%C3%A9e_Histoire_Naturelle_Tournai_27122015_1.jpg/320px-Vampyrum_spectrum_Mus%C3%A9e_Histoire_Naturelle_Tournai_27122015_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Molossus_bondae.jpg/320px-Molossus_bondae.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Chaerephon_plicatus_Hardwicke.jpg/320px-Chaerephon_plicatus_Hardwicke.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Vampire_bat_white_background.jpg/320px-Vampire_bat_white_background.jpg
52,Chestnut-headed bee-eater,"Main, Description, Habitat",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Merops_leschenaulti_-_Kaeng_Krachan.jpg/320px-Merops_leschenaulti_-_Kaeng_Krachan.jpg,What makes up the majority of the bird's diet?,Insects,"Seeds, Nuts, Fish",What makes up the majority of the bird's diet?,Insects,"Seeds, Nuts, Fish",Which part of the bird's body is a chestnut color?,Forehead,"Wings, Lores, Lower back",What color are the outer webs of the bird's central tail feathers?,Blue,"Chestnut, Black, Dusky",Which of these is a chestnut-headed bee-eater?,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Chestnut-headed_bee-eater_%28Merops_leschenaulti%29_01.jpg/320px-Chestnut-headed_bee-eater_%28Merops_leschenaulti%29_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Yellow_Billed_Babbler_captured_at_Shimoga.jpg/320px-Yellow_Billed_Babbler_captured_at_Shimoga.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Yellow-browed_bulbul.jpg/320px-Yellow-browed_bulbul.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Orange-billed_babbler_%2818909680320%29.jpg/320px-Orange-billed_babbler_%2818909680320%29.jpg
53,Arbutus menziesii,"Main, Description, Uses",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Arbutus_menziesii_5822.JPG/320px-Arbutus_menziesii_5822.JPG,What is the common name of Arbutus menziessi in the United States?,Madrona,"Arbutus, Menziessi, Erica","Which cultures utilized madrona trees for food, jewelry, and fishing?",Native Americans,"Mayans, Ancient Greeks, African Tribes",What color is the bark of madrona trees before it beigns to peel?,Orange,"Green, Silver, Brown","In the right conditions, how tall can a madrona tree become?",30 m,"15 m, 45 m, 60 m",Which of these is a madrona tree?,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Arbutus_menziesii_%289367984226%29.jpg/320px-Arbutus_menziesii_%289367984226%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Abies_procera_Rog%C3%B3w_1.jpg/320px-Abies_procera_Rog%C3%B3w_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Pinus_contorta_28263.JPG/320px-Pinus_contorta_28263.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Fraxinus_latifolia_JPG1A.jpg/320px-Fraxinus_latifolia_JPG1A.jpg
54,Baikal teal,"Main, Description, Status",https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Anas.formosa.4.jpg/320px-Anas.formosa.4.jpg,Where does the Baikal teal spend its winter months?,East Asia,"South Asia, Russia, Eastern Europe",What is the current ICUN Red List status of the Baikal teal?,Least Concern,"Extinct, Near Extinct, Endangered",What color is the nape of the male Baikal teal?,Green,"Yellow, Black, White",What color is the nape of the male Baikal teal?,Green,"Yellow, Black, White",Which of these is a breeding male Baikal teal?,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Anas_formosa_%28Baikal_teal%29.jpg/320px-Anas_formosa_%28Baikal_teal%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Lophonetta_specularoides_alticola_%288396070762%29.jpg/320px-Lophonetta_specularoides_alticola_%288396070762%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Amazonetta_brasiliensis.jpg/320px-Amazonetta_brasiliensis.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Marmaronetta_angustirostris%2C_London_Wetland_Centre%2C_UK_-_Diliff.jpg/320px-Marmaronetta_angustirostris%2C_London_Wetland_Centre%2C_UK_-_Diliff.jpg
55,Clark's anemonefish,"Main, Description, Etymology",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Amphiprion_clarkii.jpg/320px-Amphiprion_clarkii.jpg,Where was the namesake of  Clark's anemonefish from?,Scotland,"England, Ireland, France",Where was the namesake of  Clark's anemonefish from?,Scotland,"England, Ireland, France",What could color variations in Clark's anemonefish be based on?,Sex,"Diet, Health, Temperament",What could color variations in Clark's anemonefish be based on?,Sex,"Diet, Health, Temperament",Which of these is a Clark's anemonefish?,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Clark%27s_anemonefish_%28Amphiprion_clarkii%29_%2836070229626%29.jpg/320px-Clark%27s_anemonefish_%28Amphiprion_clarkii%29_%2836070229626%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Amphiprion_rubrocinctus_RLS.jpg/320px-Amphiprion_rubrocinctus_RLS.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Amphiprion_melanopus_in_Entacmaea_quadricolor.jpg/320px-Amphiprion_melanopus_in_Entacmaea_quadricolor.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Skunk_anemonefish.jpg/320px-Skunk_anemonefish.jpg
56,Heracleum maximum,"Main, Description, Uses",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Heracleum_lanatum_from_High_Trail.jpg/320px-Heracleum_lanatum_from_High_Trail.jpg,What is another name for Heracleum maximum?,Cow parsnip,"Horse parsnip, Cow celery, Horse celery",Heracleum maximum is used as a pasture plant for which animal species?,Sheep,"Grizzly bears, Black bears, Jungle cats",Which adjective describes the stems of cow parsnip?,Hollow,"Solid, Wide, Flat",Which characteristic of the carrot family does Heracleum maximum possess?,Umbels,"Areoles, Epigeals, Burs",Which of these is a Heracleum maximum plant?,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Common_Cowparsnip_%28Heracleum_maximum%29_-_Mississauga%2C_Ontario_2019-06-22.jpg/320px-Common_Cowparsnip_%28Heracleum_maximum%29_-_Mississauga%2C_Ontario_2019-06-22.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Amelanchier_humilis_unripe_fruits_and_foliage.jpg/320px-Amelanchier_humilis_unripe_fruits_and_foliage.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Antennaria_rosea_01.jpg/320px-Antennaria_rosea_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Buchnera_americana.jpg/320px-Buchnera_americana.jpg
57,Java sparrow,"Main, Description, Habitat",https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Buberel_Lonchura_oryzivora_3.jpg/320px-Buberel_Lonchura_oryzivora_3.jpg,The java sparrow lays up to how many eggs?,8,"1, 4, 10",The java sparrow lays up to how many eggs?,8,"1, 4, 10",What color is the java sparrow's eye-ring?,Red,"Pink, Grey, White",What color is the java sparrow's belly?,Pink,"Red, White, Grey",Which of these is a java sparrow?,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Java_Sparrow_in_grass.jpg/320px-Java_Sparrow_in_grass.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Stachyris_grammiceps_1838.jpg/320px-Stachyris_grammiceps_1838.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Sunda_forktail.jpg/320px-Sunda_forktail.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Lonchura_malacca_ferruginosa_1838.jpg/320px-Lonchura_malacca_ferruginosa_1838.jpg
58,Upland goose,"Main, Description, Behavior and Diet",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Chloephaga_picta.jpg/320px-Chloephaga_picta.jpg,What is the diet of upland geese?,Herbivorous,"Carniverous, Omniverous, Pescativerous",What is the diet of upland geese?,Herbivorous,"Carniverous, Omniverous, Pescativerous","Which feature did Charles Darwin deem to be ""vestigial?""",Webbing,"Beak, Wings, Ears",What color are the stripes on the wings of female upland geese?,Black,"White, Green, Yellow",Which of these is a male upland goose?,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Ganso_Upland_Goose.jpg/320px-Ganso_Upland_Goose.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Female_Upland_Goose_-_Tierra_del_Fuego_National_Park.jpg/320px-Female_Upland_Goose_-_Tierra_del_Fuego_National_Park.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Barnacle-Goose.jpg/320px-Barnacle-Goose.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Kelpgoosealpha.jpg/320px-Kelpgoosealpha.jpg
59,King colobus,"Main, Characteristics",https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/King_colobus_monkeys.jpg/320px-King_colobus_monkeys.jpg,Where is the king colobus found?,Rainforests,"Deserts, Plains, Valleys",How many females are in a typical king colobus group?,3-4,"6-8, 8-10, 14-15",The king colobus is distinguished by the location of which feature?,White markings,"Black markings, White body, Black body",Which part of the king colobus body is not covered by a tuft?,Tail,"Ears, Paws, Belly",Which of these is a king colobus?,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Colobus_polykomos.jpg/320px-Colobus_polykomos.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Colobus_angolensis.jpg/320px-Colobus_angolensis.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Mantled_Guereza.jpg/320px-Mantled_Guereza.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Red_Colobus_7.jpg/320px-Red_Colobus_7.jpg
60,Laysan finch,"Main, Description, Conservation",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Laysanfinchr.jpg/320px-Laysanfinchr.jpg,What is the IUCN designation for the Laysan finch?,Vulnerable,"Endangered, Extinct, Not threatened",What is the IUCN designation for the Laysan finch?,Vulnerable,"Endangered, Extinct, Not threatened",What color is the plumage for male Laysan finches?,Yellow,"White, Grey, Brown",Which of these is a feature of the Laysan finch?,Heavy bill,"Heavy tail, Light bill, Light tail",Which of these is a Laysan finch?,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/TelespizaCantansKeulemans.jpg/320px-TelespizaCantansKeulemans.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Akialoa_lanaiensis.jpg/320px-Akialoa_lanaiensis.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Palmeria_dolei1.jpg/320px-Palmeria_dolei1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Zzzulaaihawane.jpg/320px-Zzzulaaihawane.jpg
61,Wied's marmoset,"Main, Natural predators, Appearance",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Callithrix_kuhlii_at_P%C3%A3o_de_A%C3%A7%C3%BAcar%2C_Brazil.jpg/320px-Callithrix_kuhlii_at_P%C3%A3o_de_A%C3%A7%C3%BAcar%2C_Brazil.jpg,Whch type of social organization do Weid's marmosets follow?,Matriarchical,"Patriarchical, Democratic, Oligarchic",Which of these is a predator of Wied's marmosets?,Snakes,"Mice, Tigers, Lions",What color are the tufts coming out of the marmoset's ears?,Black,"White, Grey, Brown",Where are the white markings located on the marmoset?,Cheeks and forehead,"Cheeks and belly, Forehead and belly, Belly and ears",Which of these is a Wied's marmoset?,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Wied%27s_Marmoset_at_Blank_Park_Zoo.gk.jpg/320px-Wied%27s_Marmoset_at_Blank_Park_Zoo.gk.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Buffy-tufted_marmoset_%28Callithrix_aurita%29.jpg/320px-Buffy-tufted_marmoset_%28Callithrix_aurita%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Callithrix_flaviceps_2.jpg/320px-Callithrix_flaviceps_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Wei%C3%9Fb%C3%BCschelaffe_%28Callithrix_jacchus%29.jpg/320px-Wei%C3%9Fb%C3%BCschelaffe_%28Callithrix_jacchus%29.jpg
62,Scaphites,"Main, Morphology",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/SmallScaphites.jpg/320px-SmallScaphites.jpg,During which period did Scaphites thrive?,Late Cretaceous,"Early Cretaceous, Middle Jurassic, Early Jurassic",What shape is the shell of Scaphities?,Boat,"Sail, Bat, Ball",Which part of the shell is more tightly compressed?,Juvenile,"Terminal, Adult, Middle ",Which part of the shell is the shortest?,Terminal,"Juvenile, Middle, Younger",Which of these is a Scaphite?,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Scaphite_180308.jpg/320px-Scaphite_180308.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Ancyloceratidae_-_Acanthoptychoceras_spinatocostatum.JPG/320px-Ancyloceratidae_-_Acanthoptychoceras_spinatocostatum.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Neocomitidae_-_Berriasella_jabronensis.JPG/320px-Neocomitidae_-_Berriasella_jabronensis.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Craspeditidae_-_Craspedites_nodiger.JPG/320px-Craspeditidae_-_Craspedites_nodiger.JPG
63,Marbled cat,"Main, Characteristics",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Marbled_cat_borneo.jpg/320px-Marbled_cat_borneo.jpg,What region is the marbled cat native to?,Southeast Asia,"Northern Asia, Eastern Europe, Western Australia",Which species is the marbled cat closely related to?,Asian golden cat,"Australian golden cat, African silver cat, American silver cat",What pattern exiists on the underbelly of the marbeled cat?,Spots,"Stripes, Spirals, Circles",Which feature of the marbled cat is unusually large?,Canine teeth,"Tail, Ears, Belly",Which of these is a marbled cat?,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Marbled_tiger-cat_%28f._mamorata%29.JPG/320px-Marbled_tiger-cat_%28f._mamorata%29.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Galidia_olivacea_Geoffroy.png/320px-Galidia_olivacea_Geoffroy.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Cheetah_Umfolozi_SouthAfrica_MWegmann.jpg/320px-Cheetah_Umfolozi_SouthAfrica_MWegmann.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Acinonyx_kurteni_BW.jpg/320px-Acinonyx_kurteni_BW.jpg
64,Ocellate river stingray,"Main, Appearance",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Pfauenaugen-Stechrochen_-_Ocellate_river_stingray_-_Potamotrygon_motoro.jpg/320px-Pfauenaugen-Stechrochen_-_Ocellate_river_stingray_-_Potamotrygon_motoro.jpg,What is an alternate name for the Ocellate river stingray?,Peacock eye,"Yellow River, El Rio, Hen eye","How many ""main types"" of Ocellate river stingrays exist?",3,"1, 2, 4",What shape is the disk of the Ocellate river stingray?,Circle,"Triangle, Square, Rectangle",What color are the spots across the dorsal coloration?,Yellow-Orange,"Yellow-Brown, Yellow-Red, Yellow-Pink",Which of these is an Ocellate river stingray?,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Potamotrygon_motoro2.jpg/320px-Potamotrygon_motoro2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Stingray_in_shallows.jpg/320px-Stingray_in_shallows.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Dead_stingray_washed_up_on_Kwinana_Beach%2C_July_2019%2C_Image_2.jpg/320px-Dead_stingray_washed_up_on_Kwinana_Beach%2C_July_2019%2C_Image_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Hexatrygon_bickelli_csiro-nfc.jpg/320px-Hexatrygon_bickelli_csiro-nfc.jpg
